Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE


original	0.9	0.2151	0.6677	0.0528	0.0037	0.6517	0.664	0.6578	0.6652	0.5276	0.0067	0.0005	0.646	0.0007	0.0	0.5872	0.0007	0.0
original	0.8	0.2202	0.6583	0.0323	0.0023	0.628	0.6914	0.6582	0.6584	0.5266	0.0091	0.0006	0.6447	0.0011	0.0	0.5878	0.001	0.0
original	0.7	0.2323	0.6398	0.0338	0.0024	0.609	0.7175	0.6588	0.6424	0.5271	0.0131	0.0009	0.6455	0.0014	0.0	0.5881	0.0014	0.0
original	0.6	0.2476	0.6184	0.0406	0.0029	0.5872	0.7527	0.6597	0.6234	0.5278	0.0176	0.0012	0.6456	0.0019	0.0	0.5872	0.0016	0.0
original	0.5	0.2733	0.585	0.0501	0.0035	0.5541	0.7881	0.6507	0.5963	0.525	0.02	0.0014	0.6442	0.0022	0.0	0.5896	0.0023	0.0
original	0.45	0.2851	0.5724	0.0557	0.0039	0.5472	0.7991	0.6496	0.5883	0.5273	0.022	0.0016	0.6428	0.0023	0.0	0.5896	0.0027	0.0
original	0.4	0.2836	0.5707	0.0528	0.0037	0.5474	0.7852	0.645	0.5847	0.5303	0.0238	0.0017	0.6443	0.0027	0.0	0.5783	0.0024	0.0
original	0.35	0.3067	0.5491	0.0528	0.0037	0.5279	0.807	0.6383	0.5639	0.5267	0.0255	0.0018	0.6428	0.003	0.0	0.5843	0.003	0.0
original	0.3	0.325	0.5333	0.0511	0.0036	0.5192	0.791	0.6269	0.5315	0.5275	0.0301	0.0021	0.6424	0.0033	0.0	0.5808	0.0037	0.0
original	0.25	0.3471	0.5164	0.0454	0.0032	0.5027	0.8056	0.6191	0.5076	0.5247	0.0334	0.0024	0.6393	0.0041	0.0	0.5849	0.0045	0.0
original	0.2	0.3612	0.5062	0.0388	0.0027	0.4977	0.8084	0.6161	0.4992	0.5231	0.0409	0.0029	0.6327	0.005	0.0	0.5832	0.0046	0.0
original	0.1	0.4008	0.4943	0.0286	0.002	0.4735	0.7215	0.5717	0.4801	0.5249	0.0593	0.0042	0.6146	0.0093	0.0	0.5674	0.0102	0.0
original	0.05	0.4137	0.4943	0.0251	0.0018	0.45	0.6134	0.5191	0.483	0.5295	0.087	0.0062	0.5797	0.0145	0.0	0.5061	0.014	0.0
